path,datetime,type,burst
2024-03-10/Beelink1_20240310_183000_59.fit,2024-03-10 18:30:00,3,1
2024-03-10/Beelink1_20240310_184500_59.fit,2024-03-10 18:45:00,3,1
2024-03-11\Beelink1_20240311_063000_59.fit,2024-03-11 06:30:00,0,0
2024-03-11\Beelink1_20240311_064500_59.fit,2024-03-11 06:45:00,0,0
2024-03-11\Beelink1_20240311_070000_59.fit,2024-03-11 07:00:00,0,0
2024-03-11\Beelink1_20240311_071500_59.fit,2024-03-11 07:15:00,0,0
2024-03-11\Beelink1_20240311_073000_59.fit,2024-03-11 07:30:00,0,0
2024-03-11\Beelink1_20240311_074500_59.fit,2024-03-11 07:45:00,0,0
2024-03-11\Beelink1_20240311_080000_59.fit,2024-03-11 08:00:00,0,0
2024-03-11\Beelink1_20240311_081500_59.fit,2024-03-11 08:15:00,0,0
2024-03-11\Beelink1_20240311_083000_59.fit,2024-03-11 08:30:00,0,0
2024-03-11\Beelink1_20240311_084500_59.fit,2024-03-11 08:45:00,0,0
2024-03-11\Beelink1_20240311_090000_59.fit,2024-03-11 09:00:00,0,0
2024-03-11\Beelink1_20240311_091500_59.fit,2024-03-11 09:15:00,0,0
2024-03-11\Beelink1_20240311_093000_59.fit,2024-03-11 09:30:00,0,0
2024-03-11\Beelink1_20240311_094500_59.fit,2024-03-11 09:45:00,0,0
2024-03-11\Beelink1_20240311_100000_59.fit,2024-03-11 10:00:00,0,0
2024-03-11\Beelink1_20240311_101500_59.fit,2024-03-11 10:15:00,0,0
2024-03-11\Beelink1_20240311_102959_59.fit,2024-03-11 10:29:59,0,0
2024-03-11\Beelink1_20240311_104459_59.fit,2024-03-11 10:44:59,0,0
2024-03-11\Beelink1_20240311_105959_59.fit,2024-03-11 10:59:59,0,0
2024-03-11\Beelink1_20240311_111459_59.fit,2024-03-11 11:14:59,0,0
2024-03-11\Beelink1_20240311_112959_59.fit,2024-03-11 11:29:59,0,0
2024-03-11\Beelink1_20240311_114459_59.fit,2024-03-11 11:44:59,0,0
2024-03-11\Beelink1_20240311_115959_59.fit,2024-03-11 11:59:59,0,0
2024-03-11\Beelink1_20240311_121459_59.fit,2024-03-11 12:14:59,0,0
2024-03-11\Beelink1_20240311_123000_59.fit,2024-03-11 12:30:00,0,0
2024-03-11\Beelink1_20240311_124500_59.fit,2024-03-11 12:45:00,0,0
2024-03-11\Beelink1_20240311_130000_59.fit,2024-03-11 13:00:00,0,0
2024-03-11\Beelink1_20240311_131500_59.fit,2024-03-11 13:15:00,0,0
2024-03-11\Beelink1_20240311_133000_59.fit,2024-03-11 13:30:00,0,0
2024-03-11\Beelink1_20240311_134500_59.fit,2024-03-11 13:45:00,0,0
